difference_denying_feminism_review,difference_removing_feminism_review,difference_honoring_feminism_review,most_significant_approach,is_mother,age,occupation
8,4,10,Difference Denying,No,17,Unemployed
4,1,10,Difference Removing,No,15,Student
9,1,4,Difference Denying,No,18,Student
10,1,1,Difference Honoring,No,20,Student
7,2,6,Difference Honoring,No,21,Student
10,2,8,Difference Denying,No,19,student
9,3,8,Difference Honoring,No,17,Student
6,3,10,Difference Honoring,No,16,Unemployed
4,1,9,Difference Honoring,No,15,Student
5,1,8,Difference Honoring,No,19,Unemployed
